title,price
|5%카드할인|양양 더 앤 리조트 호텔&스파(강원 호텔/양양/동해/고성/삼척),"72,560원"
|충북 증평군| 블랙스톤 벨포레 리조트(블랙스톤/블랙스톤 벨포레/증평/증평리조트/증평콘도),"96,000원"
l 5%카드할인 I|제주 호텔| 브라운 스위트 제주 (서귀포시),"53,900원"
|5%카드할인|오라카이 송도파크 호텔(인천 호텔/연수/송도/남동구/옹진군),"80,510원"
|5%카드할인|롤링힐스 호텔(경기 호텔/화성/안산/부천/안양),"157,460원"
|5%카드할인|경주 황남관 한옥호텔(경북 호텔/경주/포항/울진/영덕),"86,330원"
l 5%카드할인 I|제주 호텔| 아시아호텔 제주(구.아비아호텔) (제주시),"48,020원"
|전남 신안군| 엘도라도리조트(엘도라도/엘도라도리조트/신안/전남신안/남도/바다전망객실/신안호텔),"66,000원"
(이용1시간전구매) 전국 챔피언키즈카페 44개점(키즈카페/키즈체험/유아체험/키즈/놀이/키즈파크),"13,500원"
"l 5%카드할인 I|서울 호텔| 이비스 스타일 앰배서더 강남 (강남,역삼,삼성,논현)","48,020원"
l 5%카드할인 I|제주 호텔| 휘닉스 제주 섭지코지 (서귀포시),"156,800원"
|5%카드할인|네스트호텔 인천(인천 호텔/중구/인천국제공항(중구)),"128,040원"
"l 5%카드할인 I|전북 호텔| 모항 해나루 가족호텔 (정읍,부안,김제,고창)","54,880원"
|5%카드할인|호텔 센트럴베이 광안리(부산 호텔/수영/광안리/기장),"63,050원"
|5%카드할인|비체팰리스(충남 호텔/보령/서산/태안),"86,330원"
|5%카드할인|여수 라마다프라자 호텔(전남 호텔/여수),"78,570원"
|전남| 광양 매화꽃(매화마을)+구례 산수유꽃 당일여행 / 봄꽃여행/매화축제/산수유축제 / 서울경기出,"35,900원"
(문자발송/당일사용)(경기/하남)주렁주렁 하남점 입장권(테마파크 실내동물원 동물체험 견학),"17,900원"
|5%카드할인|해비치 호텔&리조트(제주 호텔/서귀포/서귀포시/중문/표선/성산),"206,420원"
|5%카드할인| |제주 제주시| 로긴 리조트,"65,300원"
한화 아쿠아플라넷 일산 평일/주말입장권 일산가볼만한곳/일산데이트_N,"20,000원"
|5%카드할인| |제주 서귀포| 신화관 제주신화월드 호텔앤리조트,"128,040원"
(공식판매처) 에버랜드 3월 평일/휴일 종일이용권(~3/31),"34,000원"
(사전예약필수) 키자니아 서울/부산 이용권 (~3.31),"13,300원"
충남 안면도 리솜리조트 아일랜드 리솜 객실패키지 ~ 4월 30일 까지,"166,700원"
|강원 삼척시| 쏠비치 삼척(대명/호텔/대명/대명리조트/쏠비치/쏠비치대명/가족여행/삼척/쏠비치호텔),"127,000원"
|5%카드할인| |강원 평창| 홀리데이인&스위트 알펜시아 평창,"94,080원"
|5%카드할인|더포그레이스 호텔 앤 리조트(제주 호텔/서귀포/서귀포시/중문/표선/성산),"44,520원"
|5%카드할인|코업시티호텔 성산(제주 호텔/서귀포/서귀포시/중문/표선/성산),"44,530원"
|5%카드할인|그랜드 조선 제주(제주 호텔/서귀포/서귀포시/중문/표선/성산),"288,090원"
|제주 제주시| 유탑유블레스호텔 제주함덕(유탑유블레스/유탑유블레스호텔/제주호텔/함덕호텔/제주시호텔),"72,150원"
소노펠리체리조트(홍천/강원도/쏘노펠리체),"182,000원"
(문자발송)제천 리솜포레스트 해브나인 스파 이용권,"27,500원"
|5%카드할인|제주 아이브호텔앤리조트(제주 리조트/서귀포/서귀포시/중문/표선/성산),"28,030원"
|5%카드할인| |충남 태안| 아일랜드 리솜(구 안면도리솜오션캐슬),"165,430원"
(이용30분전구매) 전국 슈퍼윙스 키즈카페 9개지점 (키즈/이색카페/키즈카페/유아/유아카페),"11,500원"
